likeours	new_groups	Month	lat	lon	Temp Feb	Sal Feb	pH	Turbidity	Chl-Post Cal	ODO%	ODO	NOx	PO4	NH4	TDP	TDN	TP	TN	Si	TSS Final
SLC2	Lane Cove	September	-33.80985542	151.1422761	19.13	32.78	7.53	3.2	4.797476056	81.5	7.43	47	31	91	43	394	55	426	243	4.4
SLC3	Lane Cove	September	-33.82952912	151.146396	18.88	33.96	7.72	5.4	4.716168224	92.3	8.45	23	25	45	34	245	50	282	179	6.8
SLC4	Lane Cove	September	-33.82259648	151.1518341	18.73	34.51	7.8	5.1	4.44288	94.9	8.74	13	24	19	36	230	50	254	152	5.0
SLC5	Western-central Harbour	September	-33.83000702	151.173128	18.16	34.92	7.96	4.6	2.004714146	100.4	9.32	4	16	9	26	238	35	243	106	4.0
SLC6	Western-central Harbour	September	-33.83555939	151.1812941	18.14	34.9	7.98	3.6	2.2428	102.9	9.57	0	15	4	25	156	32	164	89	4.2
SMH1	Middle Harbour	September	-33.75397142	151.1957666	18.82	33.85	7.63	1.6	1.957673394	71.4	6.62	54	20	55	27	240	36	233	190	1.4
SMH2	Middle Harbour	September	-33.7771531	151.2079566	17.72	34.79	7.85	1.3	1.544050224	90.8	8.05	9	13	12	21	153	25	164	116	0.8
SMH3	Middle Harbour	September	-33.79127015	151.2189727	17.16	35.03	7.95	0.4	1.760044843	94.6	8.55	17	10	3	18	125	20	139	66	0.7
SMH4	Middle Harbour	September	-33.80551623	151.2221072	17.84	35.1	7.94	0.3	1.177260829	97.5	8.78	18	9	3	16	124	18	119	55	0.5
SMH5	Middle Harbour	September	-33.81819776	151.2199925	18	34.99	7.83	1.3	2.088968807	102.4	7.93	15	7	5	14	124	21	135	35	1.8
SMH6	Marine/Harbour Heads	September	-33.82082142	151.2634341	18.04	35.42	7.93	0.2	1.131688073	103.6	8	14	9	4	15	103	17	127	35	1.0
